Regione,Località,Latitudine,Longitudine,AQI,CO,NO2,SO2,PM2.5,PM10
"Piemonte","Ivrea","45.4673791","7.874797","2025-03-27 10:01:16","2","307.08","5.83","0.57","5.39","6.36"
"Piemonte","Ivrea","45.4673791","7.874797","2025-03-27 10:11:58","2","307.08","5.83","0.57","5.39","6.36"
"Piemonte","Ivrea","45.4673791","7.874797","2025-03-27 10:44:13","3","236.99","0.88","0.17","2","2.18"
"Piemonte","Ivrea","45.4673791","7.874797","2025-03-27 15:08:40","2","223.64","1.06","0.1","1.07","1.33"
"Piemonte","Ivrea","45.4673791","7.874797","2025-03-27 16:03:46","2","226.97","1.41","0.11","1.22","1.53"
"Piemonte","Ivrea","45.4673791","7.874797","2025-03-27 16:35:48","2","233.65","2.7","0.15","1.55","1.96"
"Piemonte","Ivrea","45.4673791","7.874797","2025-03-27 16:55:44","2","233.65","2.7","0.15","92.98","1.55","1.96"
"Piemonte","Ivrea","45.4673791","7.874797","2025-03-27 17:15:05","2","233.65","2.7","0.15","92.98","1.55","1.96"
"Piemonte","Ivrea","45.4673791","7.874797","2025-03-27 17:19:20","2","233.65","2.7","0.15","92.98","1.55","1.96"
"Piemonte","Ivrea","45.4673791","7.874797","2025-03-27 17:24:30","2","233.65","2.7","0.15","92.98","1.55","1.96"
"Piemonte","Ivrea","45.4673791","7.874797","2025-03-27 17:31:18","2","250.34","5.27","0.21","84.4","2.21","2.84"
"Piemonte","Ivrea","45.4673791","7.874797","2025-03-27 17:38:27","2","250.34","5.27","0.21","84.4","2.21","2.84"
"Lombardia","Milano","45.4641943","9.1896346","2025-03-27 17:38:45","3","560.76","22.96","1.51","133.04","25.21","26.94"
"Piemonte","Biella","45.5669538","8.086912008297636","2025-03-27 17:45:47","2","327.11","7.28","0.6","89.41","4.7","5.25"
"Piemonte","Ivrea","45.4673791","7.874797","2025-03-27 17:54:42","2","250.34","5.27","0.21","84.4","2.21","2.84"
"Piemonte","Ivrea","45.4673791","7.874797","2025-03-30 16:04:29","3","230.31","0.48","0.14","120.16","4.16","4.42"
"Piemonte","Ivrea","45.4673791","7.874797","2025-03-30 16:34:39","3","223.64","0.5","0.13","121.59","3.1","3.34"
"Piemonte","Ivrea","45.4673791","7.874797","2025-03-30 16:52:02","3","223.64","0.5","0.13","121.59","3.1","3.34"
"Lombardia","Milano","45.4641943","9.1896346","2025-03-30 16:53:24","3","297.07","4.28","0.76","135.9","6.55","7.21"
"Lazio","Roma","41.8933203","12.4829321","2025-03-30 17:04:15","2","283.72","2.72","0.36","90.84","3.26","3.55"
"Piemonte","Ivrea","45.4673791","7.874797","2025-03-30 17:09:37","3","223.64","0.5","0.13","121.59","3.1","3.34"
"Piemonte","Ivrea","45.4673791","7.874797","2025-03-30 17:10:52","3","223.64","0.5","0.13","121.59","3.1","3.34"
"Piemonte","Ivrea","45.4673791","7.874797","2025-03-30 17:11:14","3","223.64","0.5","0.13","121.59","3.1","3.34"
"Piemonte","Chivasso","45.1909588","7.8871864","2025-03-30 17:11:48","4","377.18","5.4","1.8","153.07","26.06","27.24"
"Piemonte","Ivrea","45.4673791","7.874797","2025-03-30 17:13:24","3","223.64","0.5","0.13","121.59","3.1","3.34"
"Piemonte","Ivrea","45.4673791","7.874797","2025-03-30 17:23:19","3","223.64","0.5","0.13","121.59","3.1","3.34"
"Piemonte","Ivrea","45.4673791","7.874797","2025-03-30 18:32:43","3","233.65","2.83","0.2","104.43","4.53","5.02"
"Piemonte","Ivrea","45.4673791","7.874797","2025-03-31 15:07:20","3","216.96","0.48","0.17","123.02","1.69","2.02"
"Piemonte","Ivrea","45.4673791","7.874797","2025-03-31 15:27:10","3","216.96","0.48","0.17","123.02","1.69","2.02"
"Piemonte","Ivrea","45.4673791","7.874797","2025-04-02 16:08:48","2","263.69","5.66","0.33","87.26","5.66","6.03"
"Piemonte","Ivrea","45.4673791","7.874797","2025-04-02 17:29:11","2","263.69","6.26","0.32","84.4","5.3","5.67"
"Piemonte","Ivrea","45.4673791","7.874797","2025-04-02 17:36:19","2","270.37","7.71","0.38","82.97","5.41","5.84"
"Piemonte","Ivrea","45.4673791","7.874797","2025-04-02 17:49:00","2","270.37","7.71","0.38","82.97","5.41","5.84"
"Piemonte","Ivrea","45.4673791","7.874797","2025-04-02 17:53:56","2","270.37","7.71","0.38","82.97","5.41","5.84"
"Piemonte","Torino","45.0677551","7.6824892","2025-04-02 17:57:05","2","330.45","8.05","0.51","80.11","3.34","4.32"
"Piemonte","Ivrea","45.4673791","7.874797","2025-04-04 17:01:22","3","210.29","0.46","0.09","110.15","4.98","15.41"
"Piemonte","Ivrea","45.4673791","7.874797","2025-04-04 17:08:34","3","210.29","0.46","0.09","110.15","4.98","15.41"
"Piemonte","Ivrea","45.4673791","7.874797","2025-04-04 17:10:54","3","210.29","0.46","0.09","110.15","4.98","15.41"
"Piemonte","Ivrea","45.4673791","7.874797","2025-04-04 17:17:30","3","220.3","0.4","0.08","105.86","0.96","1.02"
"Piemonte","Ivrea","45.4673791","7.874797","2025-04-04 17:20:36","3","220.3","0.4","0.08","105.86","0.96","1.02"
"Piemonte","Ivrea","45.4673791","7.874797","2025-04-04 18:59:38","2","230.31","2.59","0.12","92.98","1.79","2.06"
"Piemonte","Ivrea","45.4673791","7.874797","2025-04-04 19:04:22","2","230.31","2.59","0.12","92.98","1.79","2.06"
"Piemonte","Torino","45.0677551","7.6824892","2025-04-04 19:10:37","2","640.87","31.53","2.41","84.4","23.32","25.77"
"Piemonte","Ivrea","45.4673791","7.874797","2025-04-05 13:35:33","3","247","0.68","0.17","111.58","5.67","5.85"
"Piemonte","Ivrea","45.4673791","7.874797","2025-04-05 14:13:39","3","247","0.68","0.17","111.58","5.67","5.85"
"Piemonte","Torino","45.0677551","7.6824892","2025-04-05 14:16:56","4","494","9.08","1.97","147.34","31.08","32.36"
"Piemonte","Ivrea","45.4673791","7.874797","2025-04-06 19:03:20","3","257.02","4.71","0.28","103","5.48","6.3"
"Piemonte","Ivrea","45.4673791","7.874797","2025-04-07 13:17:45","3","216.96","0.5","0.1","104.43","0.59","0.68"
"Piemonte","Ivrea","45.4673791","7.874797","2025-04-07 13:22:29","3","216.96","0.5","0.1","104.43","0.59","0.68"
"Piemonte","Torino","45.0677551","7.6824892","2025-04-07 13:27:35","3","283.72","2.61","0.62","114.44","4.8","5.47"
"Piemonte","Ivrea","45.4673791","7.874797","2025-04-08 15:46:23","3","145.27","0.36","0.35","105","12.77","14.42"
"Piemonte","Ivrea","45.4673791","7.874797","2025-04-08 17:20:11","3","143.17","0.39","0.34","104.25","12.07","13.62"
"Piemonte","Torino","45.0677551","7.6824892","2025-04-08 18:01:26","3","153.17","1.78","0.49","100.41","10.29","11.87"
"Piemonte","Ivrea","45.4673791","7.874797","2025-04-09 10:52:58","2","169.15","2.42","0.2","63.38","14.49","16.54"
"Piemonte","Ivrea","45.4673791","7.874797","2025-04-09 11:00:20","2","169.15","2.42","0.2","63.38","14.49","16.54"
"Piemonte","Ivrea","45.4673791","7.874797","2025-04-09 11:11:25","2","169.15","2.42","0.2","63.38","14.49","16.54"
"Piemonte","Ivrea","45.4673791","7.874797","2025-04-09 11:15:06","2","169.15","2.42","0.2","63.38","14.49","16.54"
"Piemonte","Ivrea","45.4673791","7.874797","2025-04-09 11:23:16","2","169.15","2.42","0.2","63.38","14.49","16.54"
"Piemonte","Torino","45.0677551","7.6824892","2025-04-09 11:42:07","2","160.71","2.48","0.68","98.08","13.01","15.1"
"Piemonte","Torino","45.0677551","7.6824892","2025-04-09 11:43:38","2","160.71","2.48","0.68","98.08","13.01","15.1"
"Piemonte","Biella","45.5669538","8.086912008297636","2025-04-09 12:08:26","2","160.43","1.34","0.45","96.49","13.97","16.04"
"Piemonte","Pavone Canavese","45.4375586","7.8517154","2025-04-09 12:14:26","2","148.15","0.92","0.35","94.42","12.45","14.31"
"Piemonte","Ivrea","45.4673791","7.874797","2025-04-09 12:21:51","2","148.15","0.92","0.35","94.42","12.45","14.31"
"Piemonte","Ivrea","45.4673791","7.874797","2025-04-11 16:11:09","3","123.7","0.33","0.33","109.22","8.2","9.23"
"Piemonte","Ivrea","45.4673791","7.874797","2025-05-05 15:34:35","2","104.23","0.36","0.05","71.11","0.81","0.97"
"Piemonte","Ivrea","45.4673791","7.874797","2025-05-12 11:36:41","2","100.53","0.54","0.08","77.9","0.7","1.05"
"Piemonte","Ivrea","45.4673791","7.874797","2025-05-13 14:15:43","2","97.59","0.27","0.05","82.84","0.59","0.77"
"Piemonte","Ivrea","45.4673791","7.874797","2025-05-13 14:17:13","2","97.59","0.27","0.05","82.84","0.59","0.77"
"Piemonte","Ivrea","45.4673791","7.874797","2025-05-13 14:43:22","2","97.97","0.26","0.05","83.37","0.64","0.8"
"Piemonte","Ivrea","45.4673791","7.874797","2025-05-13 15:26:18","2","98.38","0.27","0.07","84.12","0.84","1.07"
"Piemonte","Ivrea","45.4673791","7.874797","2025-05-14 15:02:32","2","110.77","0.21","0.06","85.23","1.2","1.36"
"Piemonte","Ivrea","45.4673791","7.874797","2025-05-14 18:38:46","2","105.87","0.33","0.06","82.02","1.26","1.51"
"Piemonte","Ivrea","45.4673791","7.874797","2025-05-15 13:56:39","2","105.56","0.17","0.07","95.06","1.45","1.67"
"Piemonte","Ivrea","45.4673791","7.874797","2025-05-15 15:19:32","2","104.4","0.16","0.07","97.64","1.39","1.59"
"Piemonte","Ivrea","45.4673791","7.874797","2025-05-15 15:30:52","2","103.7","0.17","0.07","98.03","1.4","1.59"
"Piemonte","Ivrea","45.4673791","7.874797","2025-05-15 15:41:04","2","103.7","0.17","0.07","98.03","1.4","1.59"
"Piemonte","Torino","45.0677551","7.6824892","2025-05-15 15:43:59","2","108.28","0.7","0.15","89.5","2.38","2.58"
"Piemonte","Ivrea","45.4673791","7.874797","2025-05-15 16:09:28","2","103.7","0.17","0.07","98.03","1.4","1.59"
"Piemonte","Ivrea","45.4673791","7.874797","2025-05-15 17:20:45","2","102.99","0.2","0.07","98.62","1.42","1.61"
"Piemonte","Torino","45.0677551","7.6824892","2025-05-15 17:28:16","2","107.21","0.98","0.15","87.48","2.29","2.49"
"Piemonte","Ivrea","45.4673791","7.874797","2025-05-16 10:57:22","2","109.54","0.75","0.15","97.14","1.86","2.11"
"Piemonte","Ivrea","45.4673791","7.874797","2025-05-16 10:59:30","2","109.54","0.75","0.15","97.14","1.86","2.11"
"Piemonte","Castellamonte","45.381955","7.712117","2025-05-21 09:10:57","1","118.9","2.64","0.2","30.16","3.38","4.08"
"Piemonte","Chivasso","45.1909588","7.8871864","2025-05-21 09:18:29","1","134.73","4.01","0.47","22.23","3.04","4.12"
"Piemonte","Biella","45.5669538","8.086912","2025-05-21 10:11:13","1","120.51","1.74","0.07","34.48","2.51","3.41"
"Piemonte","Ivrea","45.4673791","7.874797","2025-05-23 11:59:22","2","98.25","0.36","0.13","83.61","1.28","1.56"
